file=compute_int_0 W=1
Start Instruction,cycles,int,float,branch,load,store
1,1205686,53.2393%,0.8778%,3.3183%,27.0201%,15.5445%
5000000,1222309,52.7243%,2.8805%,4.4473%,25.5281%,14.4198%
10000000,1205688,53.2393%,0.8778%,3.3184%,27.0200%,15.5445%
15000000,1205689,53.2397%,0.8778%,3.3183%,27.0196%,15.5446%
20000000,1205688,53.2393%,0.8778%,3.3184%,27.0201%,15.5444%
25000000,1205691,53.2440%,0.8721%,3.3174%,27.0199%,15.5466%

file=compute_int_0 W=2
1,1031802,53.2393%,0.8778%,3.3183%,27.0201%,15.5445%
5000000,1045193,52.7243%,2.8805%,4.4473%,25.5281%,14.4198%
10000000,1031804,53.2393%,0.8778%,3.3184%,27.0200%,15.5445%
15000000,1031807,53.2397%,0.8778%,3.3183%,27.0196%,15.5446%
20000000,1031803,53.2393%,0.8778%,3.3184%,27.0201%,15.5444%
25000000,1031802,53.2440%,0.8721%,3.3174%,27.0199%,15.5466%

file=compute_int_0 W=3
1,984953,53.2393%,0.8778%,3.3183%,27.0201%,15.5445%
5000000,1001613,52.7243%,2.8805%,4.4473%,25.5281%,14.4198%
10000000,984955,53.2393%,0.8778%,3.3184%,27.0200%,15.5445%
15000000,984958,53.2397%,0.8778%,3.3183%,27.0196%,15.5446%
20000000,984954,53.2393%,0.8778%,3.3184%,27.0201%,15.5444%
25000000,984948,53.2440%,0.8721%,3.3174%,27.0199%,15.5466%

file=compute_int_0 W=4
1,984799,53.2393%,0.8778%,3.3183%,27.0201%,15.5445%
5000000,1001048,52.7243%,2.8805%,4.4473%,25.5281%,14.4198%
10000000,984801,53.2393%,0.8778%,3.3184%,27.0200%,15.5445%
15000000,984804,53.2397%,0.8778%,3.3183%,27.0196%,15.5446%
20000000,984800,53.2393%,0.8778%,3.3184%,27.0201%,15.5444%
25000000,984795,53.2440%,0.8721%,3.3174%,27.0199%,15.5466%

file=compute_fp_1 W=1
Start Instruction,cycles,int,float
1,1666382,25.7445%,28.8089%,25.7444%,19.7022%,0.0000%
5000000,1665528,25.7059%,28.8705%,25.7056%,19.7180%,0.0000%
10000000,1660202,25.4635%,29.2584%,25.4635%,19.8146%,0.0000%
15000000,1066211,19.5213%,25.7144%,3.2817%,38.6254%,12.8572%
20000000,1065799,19.4822%,25.7360%,3.2683%,38.6455%,12.8680%
25000000,1065577,19.4600%,25.7477%,3.2615%,38.6569%,12.8739%

file=compute_fp_1 W=2
1,1317872,25.7445%,28.8089%,25.7444%,19.7022%,0.0000%
5000000,1316938,25.7059%,28.8705%,25.7056%,19.7180%,0.0000%
10000000,1311129,25.4635%,29.2584%,25.4635%,19.8146%,0.0000%
15000000,808243,19.5213%,25.7144%,3.2817%,38.6254%,12.8572%
20000000,807809,19.4822%,25.7360%,3.2683%,38.6455%,12.8680%
25000000,807575,19.4600%,25.7477%,3.2615%,38.6569%,12.8739%

file=compute_fp_1 W=3
1,1317872,25.7445%,28.8089%,25.7444%,19.7022%,0.0000%
5000000,1316938,25.7059%,28.8705%,25.7056%,19.7180%,0.0000%
10000000,1311129,25.4635%,29.2584%,25.4635%,19.8146%,0.0000%
15000000,808243,19.5213%,25.7144%,3.2817%,38.6254%,12.8572%
20000000,807809,19.4822%,25.7360%,3.2683%,38.6455%,12.8680%
25000000,807575,19.4600%,25.7477%,3.2615%,38.6569%,12.8739%

file=compute_fp_1 W=4
1,1317872,25.7445%,28.8089%,25.7444%,19.7022%,0.0000%
5000000,1316936,25.7059%,28.8705%,25.7056%,19.7180%,0.0000%
10000000,1311129,25.4635%,29.2584%,25.4635%,19.8146%,0.0000%
15000000,775967,19.5213%,25.7144%,3.2817%,38.6254%,12.8572%
20000000,775541,19.4822%,25.7360%,3.2683%,38.6455%,12.8680%
25000000,775315,19.4600%,25.7477%,3.2615%,38.6569%,12.8739%

file=srv_0 W=1
Start Instruction,cycles,int,float
1,1476020,47.5764%,0.4487%,18.7246%,22.9315%,10.3188%
5000000,1457171,47.9605%,0.7024%,18.2051%,22.8653%,10.2667%
10000000,1467840,47.7866%,0.5066%,18.4880%,22.8909%,10.3279%
15000000,1463484,47.6417%,0.6309%,18.4237%,22.9280%,10.3757%
20000000,1479488,47.5779%,0.4046%,18.7975%,22.9112%,10.3088%
25000000,1478127,47.5057%,0.4098%,18.7701%,22.9670%,10.3474%

file=srv_0 W=2
1,1221643,47.5764%,0.4487%,18.7246%,22.9315%,10.3188%
5000000,1197134,47.9605%,0.7024%,18.2051%,22.8653%,10.2667%
10000000,1211251,47.7866%,0.5066%,18.4880%,22.8909%,10.3279%
15000000,1204112,47.6417%,0.6309%,18.4237%,22.9280%,10.3757%
20000000,1227364,47.5779%,0.4046%,18.7975%,22.9112%,10.3088%
25000000,1224752,47.5057%,0.4098%,18.7701%,22.9670%,10.3474%

file=srv_0 W=3
1,1195712,47.5764%,0.4487%,18.7246%,22.9315%,10.3188%
5000000,1170820,47.9605%,0.7024%,18.2051%,22.8653%,10.2667%
10000000,1185079,47.7866%,0.5066%,18.4880%,22.8909%,10.3279%
15000000,1177662,47.6417%,0.6309%,18.4237%,22.9280%,10.3757%
20000000,1201610,47.5779%,0.4046%,18.7975%,22.9112%,10.3088%
25000000,1198726,47.5057%,0.4098%,18.7701%,22.9670%,10.3474%

file=srv_0 W=4
1,1190064,47.5764%,0.4487%,18.7246%,22.9315%,10.3188%
5000000,1164767,47.9605%,0.7024%,18.2051%,22.8653%,10.2667%
10000000,1179154,47.7866%,0.5066%,18.4880%,22.8909%,10.3279%
15000000,1171660,47.6417%,0.6309%,18.4237%,22.9280%,10.3757%
20000000,1196088,47.5779%,0.4046%,18.7975%,22.9112%,10.3088%
25000000,1193148,47.5057%,0.4098%,18.7701%,22.9670%,10.3474%
